subject_id,theta
forge_code_gemini_3_1_pro,3.2392373085021973
droid_gpt_5_3_codex,2.0643181800842285
simple_codex_gpt_5_3_codex,3.327813148498535
terminus_kira_gemini_3_1_pro,2.678239107131958
terminus_kira_claude_opus_4_6,2.911627769470215
tongagents_claude_opus_4_6,2.1059043407440186
codebrain_1_gpt_5_3_codex,1.8593549728393555
droid_claude_opus_4_6,2.313157320022583
ante_gemini_3_pro,2.4847705364227295
mux_gpt_5_3_codex,2.035585880279541
crux_claude_opus_4_6,2.042224168777466
mux_claude_opus_4_6,1.7875676155090332
deep_agents_gpt_5_2_codex,1.834488034248352
sageagent_gemini_3_pro,0.9872753024101257
droid_gpt_5_2,1.7279263734817505
terminus_2_gpt_5_3_codex,1.0127099752426147
junie_cli_gemini_3_flash,0.958415150642395
droid_claude_opus_4_5,1.8950419425964355
codex_cli_gpt_5_2,1.3162972927093506
terminus_2_claude_opus_4_6,1.3453621864318848
codebrain_1_gemini_3_pro,1.129919409751892
ii_agent_gemini_3_pro,1.1098055839538574
"warp_claude_haiku_4_5_at_anthropic,gpt_5_2_at_openai",1.6409977674484253
droid_gemini_3_pro,1.4746112823486328
mux_gpt_5_2,1.0827792882919312
codex_cli_gpt_5_1_codex_max,0.9668618440628052
"warp_claude_haiku_4_5_20251001_at_anthropic,gemini_3_pro_preview_at_google,gpt_5_nano_at_openai",0.8303411602973938
letta_code_claude_opus_4_5,1.2212177515029907
mux_claude_opus_4_5,0.5132877826690674
abacus_ai_desktop_multiple,0.3978862762451172
claude_code_claude_opus_4_6,0.5270097851753235
terminus_2_claude_opus_4_5,0.726922333240509
crux_gpt_5_1_codex,0.8279364109039307
terminus_2_gemini_3_pro,0.7402787804603577
letta_code_gemini_3_pro,0.578286349773407
goose_claude_opus_4_5,0.5855629444122314
terminus_2_gpt_5_2,-0.49910980463027954
letta_code_gpt_5_1_codex,0.7496866583824158
terminus_2_glm_5,0.2231927514076233
claude_code_claude_opus_4_5,0.24808725714683533
openhands_claude_opus_4_5,0.15855447947978973
opencode_claude_opus_4_5,0.42485687136650085
terminus_2_gemini_3_flash,0.02707912027835846
gemini_cli_gemini_3_flash,-0.00982397049665451
"warp_claude_haiku_4_5_20251001_at_anthropic,claude_sonnet_4_5_20250929_at_anthropic,gpt_5_nano_at_openai",0.015009276568889618
codex_cli_gpt_5,0.33097392320632935
terminus_2_gpt_5_1,-0.2212105393409729
camel_ai_claude_sonnet_4_5,-0.37888407707214355
codex_cli_gpt_5_codex,-0.391239196062088
openhands_gpt_5,-0.4893984794616699
terminus_2_gpt_5_codex,-0.48826825618743896
terminus_2_kimi_k2_5,-0.5787551403045654
goose_claude_sonnet_4_5,-0.6629924774169922
crux_gpt_5_1_codex_mini,-0.4867335259914398
terminus_2_claude_sonnet_4_5,-0.5450837016105652
maya_claude_4_5_sonnet,-0.8770586252212524
openhands_claude_sonnet_4_5,-0.8770240545272827
mini_swe_agent_claude_sonnet_4_5,-0.621727466583252
terminus_2_minimax_m2_5,-0.4051794707775116
mini_swe_agent_gpt_5_codex,-0.8032333850860596
claude_code_claude_sonnet_4_5,-0.8535294532775879
terminus_2_deepseek_v3_2,-1.1156507730484009
terminus_2_claude_opus_4_1,-1.6487393379211426
openhands_claude_opus_4_1,-1.4628264904022217
terminus_2_gpt_5_1_codex,-1.295113205909729
crux_minimax_m2_1,-1.3595106601715088
terminus_2_kimi_k2_thinking,-1.209549903869629
goose_claude_haiku_4_5,-1.157434105873108
terminus_2_gpt_5,-1.4266310930252075
mini_swe_agent_claude_opus_4_1,-1.2881736755371094
spoox_m_gpt_5_mini,-1.5906847715377808
claude_code_claude_opus_4_1,-1.2425029277801514
mini_swe_agent_gpt_5,-1.408366084098816
terminus_2_glm_4_7,-1.8608819246292114
crux_glm_4_7,-1.8367711305618286
terminus_2_gemini_2_5_pro,-2.0374209880828857
codex_cli_gpt_5_mini,-1.8005163669586182
terminus_2_minimax_m2,-1.8107240200042725
mini_swe_agent_claude_haiku_4_5,-1.6806037425994873
openhands_gpt_5_mini,-1.6098428964614868
terminus_2_minimax_m2_1,-1.9634103775024414
terminus_2_claude_haiku_4_5,-2.266049861907959
terminus_2_kimi_k2_instruct,-1.8586111068725586
claude_code_claude_haiku_4_5,-2.298577070236206
openhands_grok_4,-2.156717538833618
dakou_agent_qwen_3_coder_480b,-2.068441152572632
openhands_kimi_k2_instruct,-2.1839044094085693
mini_swe_agent_gemini_2_5_pro,-2.192051649093628
mini_swe_agent_grok_code_fast_1,-2.0608654022216797
openhands_qwen_3_coder_480b,-2.384643793106079
mini_swe_agent_grok_4,-2.124040126800537
terminus_2_glm_4_6,-2.8846235275268555
terminus_2_gpt_5_mini,-2.287888526916504
terminus_2_qwen_3_coder_480b,-2.5887062549591064
terminus_2_grok_4,-2.0523312091827393
mini_swe_agent_gpt_5_mini,-2.3223345279693604
gemini_cli_gemini_2_5_pro,-2.757289409637451
terminus_2_gpt_oss_120b,-2.9795122146606445
mini_swe_agent_gemini_2_5_flash,-3.6072661876678467
terminus_2_gemini_2_5_flash,-3.569223403930664
openhands_gemini_2_5_pro,-3.9942221641540527
openhands_gemini_2_5_flash,-3.56779408454895
gemini_cli_gemini_2_5_flash,-3.0163848400115967
mini_swe_agent_gpt_oss_120b,-3.776414155960083
terminus_2_grok_code_fast_1,-3.826383590698242
openhands_claude_haiku_4_5,-4.219608306884766
codex_cli_gpt_5_nano,-4.881394386291504
openhands_gpt_5_nano,-4.084985256195068
terminus_2_gpt_5_nano,-4.672978401184082
mini_swe_agent_gpt_5_nano,-4.838022232055664
mini_swe_agent_gpt_oss_20b,-6.330142974853516
terminus_2_gpt_oss_20b,-8.88084602355957
