solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_task_id,_extracted_at,_model,_provider,instance_id,fix_localization,entry_point_clarity,change_blast_radius,environment_setup_complexity,implementation_language_complexity,testing_infrastructure_quality,dependency_complexity,codebase_scale
1,4,4,4,4,4,1,5,2,5,4,2,3,1,2,2,1,1,4,1,password-recovery,2026-03-06T15:18:50.442820,gpt-5.4-2026-03-05,openai,password-recovery,5,4,1,1,2,1,1,1
2,4,3,4,3,4,1,4,3,5,4,1,4,1,2,4,4,3,4,3,financial-document-processor,2026-03-06T15:18:49.521152,gpt-5.4-2026-03-05,openai,financial-document-processor,4,5,1,2,2,1,1,1
2,5,4,3,3,4,1,4,4,5,3,1,4,1,3,3,4,1,2,3,qemu-startup,2026-03-06T15:19:02.289928,gpt-5.4-2026-03-05,openai,qemu-startup,5,5,1,2,1,2,2,1
2,4,4,4,4,4,1,4,3,5,4,1,3,0,2,4,3,2,3,2,db-wal-recovery,2026-03-06T15:18:48.145310,gpt-5.4-2026-03-05,openai,db-wal-recovery,5,5,1,1,2,2,1,1
2,5,3,3,2,3,1,5,4,5,2,1,4,1,3,4,3,3,3,3,hf-model-inference,2026-03-06T15:18:50.234291,gpt-5.4-2026-03-05,openai,hf-model-inference,4,5,1,2,2,2,3,1
1,5,5,4,5,4,1,5,5,5,5,2,4,0,2,4,4,2,4,3,winning-avg-corewars,2026-03-06T15:19:03.467662,gpt-5.4-2026-03-05,openai,winning-avg-corewars,5,5,1,2,3,4,1,1
2,4,5,5,5,5,0,4,5,4,5,2,3,0,2,2,2,1,5,2,gpt2-codegolf,2026-03-06T15:18:48.532607,gpt-5.4-2026-03-05,openai,gpt2-codegolf,5,5,1,1,4,1,2,1
2,4,5,4,4,4,0,4,4,4,4,2,4,0,2,4,4,3,4,3,sam-cell-seg,2026-03-06T15:19:06.662150,gpt-5.4-2026-03-05,openai,sam-cell-seg,4,5,1,3,3,2,4,1
2,4,4,4,5,4,0,4,4,4,5,2,3,0,2,4,4,2,4,3,path-tracing-reverse,2026-03-06T15:18:51.810274,gpt-5.4-2026-03-05,openai,path-tracing-reverse,5,5,1,2,4,2,2,1
1,3,4,4,4,4,0,4,3,4,3,1,3,0,1,1,1,1,4,3,gcode-to-text,2026-03-06T15:18:48.392399,gpt-5.4-2026-03-05,openai,gcode-to-text,5,5,1,1,1,1,1,1
1,4,4,4,4,4,1,4,3,5,4,1,3,0,2,2,2,1,4,3,chess-best-move,2026-03-06T15:15:09.001687,gpt-5.4-2026-03-05,openai,chess-best-move,5,5,1,1,1,1,1,1
2,4,5,4,4,4,1,4,3,4,4,2,3,0,2,4,4,2,4,3,bn-fit-modify,2026-03-06T15:15:07.281906,gpt-5.4-2026-03-05,openai,bn-fit-modify,5,5,1,1,2,1,1,1
2,4,4,4,3,3,1,4,4,4,4,2,4,1,2,4,3,4,2,2,fix-code-vulnerability,2026-03-06T15:18:48.012502,gpt-5.4-2026-03-05,openai,fix-code-vulnerability,5,4,2,1,1,5,1,2
