subject_id,theta
Claude 4 Sonnet - 10132025,-1.919535756111145
Claude 4.5 Haiku -- 10222025,-1.2628854513168335
Claude 4.5 Sonnet - 10132025,-1.0337252616882324
Claude Opus 4.1 - paper,-2.8355698585510254
Claude Sonnet 4 - paper,-3.2297918796539307
GLM-4.5 -- 10222025,-1.811395525932312
GPT OSS - paper,-3.407288074493408
GPT-4o - paper,-4.889894485473633
GPT-5 - 10132025,-1.6523538827896118
GPT-5 Codex -- debug-oct22,-2.4499833583831787
GPT-5 High - paper,-2.459429979324341
Gemini 2.5 Pro Preview - paper,-3.6731081008911133
Gemini 2.5 Pro Preview -- debug-oct22,-3.146979570388794
Kimi - paper,-2.2977025508880615
