subject_id,theta
Claude 4 Sonnet - 10132025,-1.3423702716827393
Claude 4.5 Haiku -- 10222025,-0.6679209470748901
Claude 4.5 Sonnet - 10132025,-0.2908991277217865
Claude Opus 4.1 - paper,-2.36751389503479
Claude Sonnet 4 - paper,-2.6955668926239014
GLM-4.5 -- 10222025,-0.9910789132118225
GPT OSS - paper,-2.8892335891723633
GPT-4o - paper,-4.914395809173584
GPT-5 - 10132025,-0.9648982882499695
GPT-5 Codex -- debug-oct22,-1.8050709962844849
GPT-5 High - paper,-1.9148224592208862
Gemini 2.5 Pro Preview - paper,-3.115250587463379
Gemini 2.5 Pro Preview -- debug-oct22,-2.3941659927368164
Kimi - paper,-1.6368248462677002
