item_id,b
NodeBB__NodeBB-00c70ce7b0541cfc94afe567921d7668cdc8f4ac,3.8643808364868164
NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5,0.7671157121658325
NodeBB__NodeBB-05f2236193f407cf8e2072757fbd6bb170bc13f0,-2.0091488361358643
NodeBB__NodeBB-087e6020e490b4a1759f38c1ad03869511928263,3.848935842514038
NodeBB__NodeBB-0c81642997ea1d827dbd02c311db9d4976112cd4,-1.47028648853302
NodeBB__NodeBB-0e07f3c9bace416cbab078a30eae972868c0a8a3,0.8014596700668335
NodeBB__NodeBB-0f788b8eaa4bba3c142d171fd941d015c53b65fc,0.7745532989501953
NodeBB__NodeBB-18c45b44613aecd53e9f60457b9812049ab2998d,3.9426915645599365
NodeBB__NodeBB-1ea9481af6125ffd6da0592ed439aa62af0bca11,-0.1451481282711029
NodeBB__NodeBB-2657804c1fb6b84dc76ad3b18ecf061aaab5f29f,0.8286957144737244
NodeBB__NodeBB-3c85b944e30a0ba8b3ec9e1f441c74f383625a15,-2.102457046508789
NodeBB__NodeBB-4327a09d76f10a79109da9d91c22120428d3bdb9,-4.971602916717529
NodeBB__NodeBB-445b70deda20201b7d9a68f7224da751b3db728c,3.897461175918579
NodeBB__NodeBB-51d8f3b195bddb13a13ddc0de110722774d9bb1b,-1.025605320930481
NodeBB__NodeBB-6489e9fd9ed16ea743cc5627f4d86c72fbdb3a8a,-1.3274359703063965
NodeBB__NodeBB-6ea3b51f128dd270281db576a1b59270d5e45db0,-2.4888148307800293
NodeBB__NodeBB-70b4a0e2aebebe8f2f559de6680093d96a697b2f,-2.9047324657440186
NodeBB__NodeBB-76c6e30282906ac664f2c9278fc90999b27b1f48,-2.9473400115966797
NodeBB__NodeBB-7b8bffd763e2155cf88f3ebc258fa68ebe18188d,-2.210999011993408
NodeBB__NodeBB-8168c6c40707478f71b8af60300830fe554c778c,3.972593307495117
NodeBB__NodeBB-84dfda59e6a0e8a77240f939a7cb8757e6eaf945,3.7630679607391357
NodeBB__NodeBB-84e065752f6d7fbe5c08cbf50cb173ffb866b8fa,-1.330886721611023
NodeBB__NodeBB-8ca65b0c78c67c1653487c02d1135e1b702185e1,-0.8760650753974915
NodeBB__NodeBB-97c8569a798075c50e93e585ac741ab55cb7c28b,-0.2533818483352661
