,a1,b1,a1_std,b1_std,a2,b2,a2_std,b2_std
astropy__astropy-12907,1.3526659,-0.080771685,0.21364592,0.20018095,2.078969,-0.09723423,0.33780128,0.14326745
astropy__astropy-13033,1.206854,2.3713255,0.21038184,0.6075451,1.2019908,2.4254372,0.30298954,0.63143295
astropy__astropy-13236,0.83107257,1.0337834,0.2473624,0.47589135,0.92513937,2.69713,0.15418208,0.3718722
astropy__astropy-13398,1.4187108,2.6846497,0.23152997,0.78000087,1.3432052,2.4739351,0.3424448,0.7742084
astropy__astropy-13453,1.0164427,0.2892436,0.2144683,0.26728278,2.1232278,0.3114934,0.2911704,0.13240616
astropy__astropy-13579,1.5423745,-0.2562227,0.21969575,0.17155735,1.6051737,-0.13790889,0.27188894,0.17972296
astropy__astropy-13977,1.4181051,2.6708221,0.2441797,0.9157814,1.3983645,2.548987,0.34285557,0.83810323
astropy__astropy-14096,1.557767,-0.29083538,0.20813398,0.16877127,1.0389876,0.07630106,0.21973738,0.23566397
astropy__astropy-14182,1.3656659,1.6689495,0.20330513,0.302454,1.4037703,1.7366748,0.27583027,0.30584893
astropy__astropy-14309,1.4401903,-1.8591208,0.2115096,0.36215937,1.2113681,-1.0079281,0.34749174,0.44776163
astropy__astropy-14365,1.3614272,1.469793,0.20642926,0.27146062,1.3726214,1.5398244,0.24885444,0.2858297
astropy__astropy-14369,1.2353489,1.0605897,0.21294142,0.25447127,1.8252735,1.3379787,0.2752864,0.18637283
astropy__astropy-14508,1.1716474,0.18343793,0.20810197,0.21810412,1.9657722,0.15209782,0.2624234,0.13177633
astropy__astropy-14539,1.294395,-0.33796152,0.19633627,0.21628776,1.6280712,-0.21947135,0.29075545,0.17414816
astropy__astropy-14598,1.3725193,1.9952935,0.18867108,0.3309651,1.0688305,1.6209055,0.2646445,0.41069227
astropy__astropy-14995,1.579426,-1.0351759,0.1864407,0.2074577,1.197638,-0.43154326,0.27949068,0.26038963
astropy__astropy-7166,1.2882254,-0.7931282,0.17916673,0.20682947,0.82079244,-0.14532396,0.22983067,0.32015476
astropy__astropy-7336,1.3102685,-1.6117004,0.15801464,0.28561577,0.60584223,-0.28578767,0.288406,0.4917892
astropy__astropy-7606,1.1422026,2.7547116,0.13384286,0.37728125,-0.23657732,0.19763124,0.2467008,0.706312
astropy__astropy-7671,1.0550807,-1.1549191,0.15238592,0.27341452,0.6070509,-0.4903005,0.21244419,0.41784734
astropy__astropy-8707,1.1784797,2.490233,0.14208266,0.3270177,0.21371286,0.7198506,0.22254802,0.7826234
astropy__astropy-8872,1.2495558,2.4996626,0.15883414,0.32172054,0.38014466,0.8076672,0.25934458,0.6237477
django__django-10097,0.4202691,0.52091014,0.20740196,0.4808776,0.74512845,1.1486965,0.15532207,0.25796402
django__django-10554,1.3659648,2.6058795,0.22469258,0.8183564,1.3878763,2.4535854,0.34129727,0.80204815
django__django-10880,1.3420063,-0.40176836,0.19431102,0.1992301,1.3453093,-0.29593498,0.25890666,0.206078
django__django-10914,1.1940233,-0.97322595,0.17982511,0.27224416,1.3164986,-0.7452561,0.2903433,0.26103377
django__django-10973,1.3531055,-0.7301428,0.18475811,0.20732185,1.0519919,-0.15389235,0.2508176,0.27055338
django__django-10999,1.3979455,2.628587,0.23666383,0.82332486,1.3880811,2.5474508,0.33854586,0.7549671
django__django-11066,1.504893,-1.8732615,0.2101819,0.35113028,1.0511752,-0.96016955,0.30966008,0.4367935
django__django-11087,1.385785,2.5874968,0.23696269,0.8491239,1.3691792,2.5635166,0.3494384,0.78589505
django__django-11095,1.553642,-1.0432943,0.2109482,0.28270453,1.5561631,-0.8181103,0.32042995,0.2612424
django__django-11099,1.3233298,-1.8572286,0.17873505,0.3691844,1.0179416,-0.9364542,0.28820008,0.48813397
django__django-11119,1.3154296,-1.860876,0.18503723,0.3580197,0.7886437,-0.98013556,0.28060058,0.5390515
django__django-11133,1.241264,-1.5921007,0.19794926,0.3795362,1.109217,-0.9285087,0.27655837,0.3769963
django__django-11138,1.2312373,1.3713253,0.20503306,0.3348865,1.7153472,1.7977484,0.2684608,0.23495458
django__django-11141,1.1749481,1.3080094,0.20239747,0.24850978,1.1049125,1.2993562,0.21545118,0.26463103
django__django-11149,1.2646251,0.8093179,0.2241184,0.20481883,1.3372527,1.0642354,0.20669585,0.19862626
django__django-11163,1.4652332,-1.3202521,0.22236653,0.34648582,1.4747453,-0.97257197,0.32148647,0.3266437
django__django-11179,1.5448866,-0.85392827,0.20977095,0.24151045,1.59246,-0.6766736,0.316814,0.23089644
django__django-11206,0.9567613,0.9542386,0.19084422,0.26522237,0.7108585,0.89928925,0.17505173,0.2948522
django__django-11211,1.7139003,-0.20863743,0.23724824,0.15064365,1.428539,0.020317124,0.2536251,0.1839528
django__django-11239,0.67672473,0.4516899,0.26426637,0.37490714,1.8728257,0.9928702,0.25941253,0.14236872
django__django-11265,0.7108911,0.61170894,0.21668988,0.36103886,0.9569957,1.1209857,0.16657007,0.25308648
django__django-11276,0.9837962,-0.5487402,0.17811039,0.256093,0.7627739,-0.46124506,0.20461616,0.3082428
django__django-11292,1.5126883,-0.58879423,0.21166757,0.20795783,1.5983465,-0.40009734,0.31725696,0.19978537
django__django-11299,1.0529423,0.40836412,0.21488127,0.24934271,2.0370655,0.52327174,0.271797,0.13227604
django__django-11333,1.3242202,0.3130018,0.2271188,0.2024768,1.8782117,0.44259644,0.25853685,0.14242303
django__django-11400,1.4381546,2.7354758,0.22396795,0.798731,1.3745289,2.569633,0.33565363,0.7709207
django__django-11433,1.2817862,1.3185594,0.21498594,0.26856863,1.6407043,1.5629262,0.25199437,0.21099427
django__django-11451,1.216188,-0.9017017,0.18307632,0.23476157,0.95909965,-0.24192084,0.25374463,0.30504003
django__django-11477,1.3607525,2.305132,0.20162232,0.48237973,1.0069425,2.0502644,0.27895844,0.601006
django__django-11490,0.9553154,0.5177473,0.22883862,0.2532295,1.5785968,0.7629126,0.21374364,0.17341277
django__django-11532,1.2297282,0.57996243,0.20122015,0.16978699,0.25388658,0.5116377,0.15362228,0.551349
django__django-11551,1.3915751,-1.1436652,0.19365126,0.27655435,1.432012,-0.7869877,0.30517864,0.28006893
django__django-11555,0.92153966,0.4926988,0.22756267,0.26513627,1.3932313,0.7642062,0.20450883,0.17095579
django__django-11603,1.38424,-1.4283682,0.19505166,0.34977233,1.2320462,-0.9730021,0.28234464,0.33848947
django__django-11728,1.2684373,1.5650814,0.20517662,0.30377766,1.4224329,1.7288426,0.24762885,0.28063184
django__django-11734,1.4539816,2.1621795,0.21647072,0.48182037,1.181786,1.8567086,0.30006358,0.5065017
django__django-11740,0.70281637,0.22725868,0.21605484,0.32740515,2.3734841,0.07964202,0.32898125,0.11774281
django__django-11749,1.4382172,-0.2929955,0.20275939,0.18988296,1.3178166,-0.078417994,0.22771423,0.20387545
django__django-11790,0.6460145,1.098129,0.1869058,0.4533335,0.20807786,2.4683425,0.083769165,0.589282
django__django-11815,1.2223402,-0.22828361,0.18587403,0.17936072,0.6197172,0.1854063,0.18866287,0.33684087
django__django-11820,1.3612509,2.223559,0.21122786,0.5144587,1.522984,2.2630994,0.3344951,0.5028929
django__django-11848,0.61413085,0.9224099,0.18311176,0.3909436,0.54786325,1.4895395,0.13752423,0.37787074
django__django-11880,1.511518,-1.4525185,0.21852154,0.33758953,1.4707016,-1.023018,0.31711754,0.37735224
django__django-11885,1.1729431,1.5201104,0.21195962,0.3826767,1.7402183,2.0022104,0.32208264,0.24823724
django__django-11951,1.3133396,-0.5822033,0.20264693,0.22454165,1.3941163,-0.4628211,0.26826632,0.21686848
django__django-11964,1.1225201,1.1423601,0.16599964,0.21523662,0.37274343,0.69257015,0.1735213,0.5117322
django__django-11999,1.4725754,-0.8488172,0.1906144,0.20179954,1.1135451,-0.17564918,0.2589497,0.27105978
django__django-12039,0.78332675,0.23356135,0.21414433,0.31010753,1.4259179,0.21965918,0.22033466,0.16722466
django__django-12050,1.3407295,-0.84289044,0.20014665,0.27761367,1.5913543,-0.71065146,0.31185305,0.2284564
django__django-12125,1.1154255,0.45159268,0.22756524,0.2190952,1.1006484,0.5709973,0.19731593,0.2163366
django__django-12143,1.4453771,-1.6285567,0.18562889,0.33473244,1.0999365,-0.9007767,0.3115446,0.41089523
django__django-12155,1.0272218,-1.716279,0.20560911,0.47481817,1.3138609,-1.5747454,0.27883428,0.4282604
django__django-12193,1.0206845,-0.024872154,0.18964903,0.20667285,0.15205057,0.3661737,0.14900875,0.6028424
django__django-12209,1.4704546,-0.77125573,0.17864281,0.1947028,1.1808795,-0.30253777,0.26106206,0.24247041
django__django-12262,1.1749204,0.024268983,0.21684106,0.21258831,1.5341547,0.06364872,0.23784275,0.17408049
django__django-12273,1.2483202,1.2924196,0.21920514,0.24376991,1.0194832,1.489972,0.21232435,0.30849263
django__django-12276,1.2742239,-1.109442,0.17390521,0.27036226,1.0726355,-0.5357938,0.27782518,0.30931613
django__django-12304,1.5392828,-0.0146846045,0.21778286,0.17117707,1.5782866,0.11016683,0.24558397,0.16386887
django__django-12308,0.99855864,1.2596687,0.18124272,0.29998487,0.6529537,1.4625287,0.16407883,0.37131667
django__django-12325,1.1481411,1.7602935,0.16271329,0.27067196,0.402464,1.3155768,0.16513488,0.5850906
django__django-12406,1.4459655,2.6745481,0.2368406,0.79653716,1.4040849,2.4968028,0.33376282,0.772797
django__django-12419,1.4000349,-1.6184977,0.17133914,0.26873854,0.53119385,-0.20015003,0.28059724,0.5617112
django__django-12663,1.5306957,0.45323208,0.2287936,0.15615277,1.4400824,0.6074666,0.21062666,0.17824657
django__django-12708,1.1769432,-0.03839152,0.20397335,0.22251895,1.8203393,-0.16210249,0.29102737,0.1471362
django__django-12713,1.2917689,-0.9006778,0.19136554,0.23603785,1.001994,-0.3002635,0.24818122,0.29460657
django__django-12741,1.3273851,-0.24528621,0.19165736,0.19465116,1.2796918,-0.005849941,0.22085878,0.1934517
django__django-12754,1.1478907,0.439052,0.22026122,0.23837446,1.9913073,0.62102723,0.25512743,0.13486823
django__django-12774,1.4002829,0.37503773,0.22327049,0.18512005,1.7585737,0.48735243,0.24942732,0.15237102
django__django-12858,1.1302507,-0.06260029,0.1907,0.23396546,1.6114331,-0.11111456,0.2584202,0.17201176
django__django-12965,1.3651437,0.59975815,0.23454273,0.21028334,1.9768369,0.7667604,0.26221752,0.1503842
django__django-13012,1.3620765,-0.14287277,0.19854695,0.19813034,1.0776361,0.0399461,0.22593589,0.22118989
django__django-13023,1.2154362,0.38632065,0.19149058,0.20753698,1.3212144,0.5086846,0.22037825,0.17099348
django__django-13028,1.1293269,-0.2902628,0.21271819,0.24868988,1.884263,-0.5069596,0.3107077,0.16726464
django__django-13033,1.3227345,0.20184776,0.21125327,0.18126856,1.8410746,0.22747347,0.2650718,0.13816676
django__django-13089,1.3687296,-1.5633096,0.20652281,0.32935038,1.2730228,-0.9705042,0.30988348,0.36786115
django__django-13109,1.536798,-1.4497771,0.2066328,0.34820718,1.4373494,-1.0467302,0.322741,0.34468827
django__django-13112,1.2960393,0.553613,0.21952401,0.20639265,1.7952056,0.71850896,0.23813942,0.15156125
django__django-13121,1.3448967,0.35774055,0.22449735,0.20085666,1.7498013,0.50095886,0.22940521,0.15080029
django__django-13128,1.4408236,0.47565773,0.23748882,0.182308,1.8366055,0.6389835,0.2585056,0.142501
django__django-13158,1.3726362,0.2531623,0.21835952,0.188854,1.6385087,0.3387932,0.25088206,0.15387696
django__django-13195,1.3357546,2.1364355,0.20939112,0.56007934,1.4555284,2.2904072,0.32180625,0.49185038
django__django-13212,1.3884741,2.6632102,0.24329802,0.81071585,1.4083358,2.5120518,0.35645926,0.75161624
django__django-13279,1.4618268,-0.113111295,0.21153024,0.16764961,1.1667786,0.10991102,0.2121036,0.19650376
django__django-13297,1.1661325,0.4086118,0.21826404,0.21805929,1.9634715,0.55214417,0.27613372,0.14130478
django__django-13315,1.52332,-0.053680673,0.20358339,0.17179078,0.9825145,0.17401004,0.2075586,0.25008404
django__django-13343,1.2062498,-0.18819821,0.19281565,0.22145548,1.2126241,-0.10496579,0.23621805,0.20192368
django__django-13344,1.3878939,2.7422423,0.22774623,0.7599857,1.3556424,2.4860592,0.33374202,0.7731875
django__django-13346,1.327255,0.43979976,0.22514045,0.19858086,1.6550696,0.5709036,0.23407744,0.15901694
django__django-13363,1.3883768,-1.1471788,0.21937478,0.30660582,1.3395742,-0.8991614,0.2907506,0.3117274
django__django-13401,1.5453923,-0.1769301,0.20589355,0.16310023,0.83103824,0.20938121,0.21418779,0.28719786
django__django-13406,1.2240362,0.3507238,0.22073397,0.20000248,1.3492858,0.44572404,0.21523832,0.18387042
django__django-13410,1.5713283,-1.5017042,0.19140875,0.2559805,0.8653536,-0.39737996,0.28579408,0.4364879
django__django-13417,1.396483,-0.64456207,0.20621613,0.23535752,1.4965371,-0.53922397,0.2933718,0.20030132
django__django-13449,1.1739019,0.15170746,0.21479401,0.22003232,2.1063013,0.18911862,0.28980318,0.13407093
django__django-13512,1.1271267,0.6403319,0.21475084,0.21854356,1.3517729,0.8934321,0.21430014,0.1957763
