,a1,b1,a1_std,b1_std,a2,b2,a2_std,b2_std,a3,b3,a3_std,b3_std
astropy__astropy-12907,0.82583636,0.037800103,0.18188503,0.30011764,1.3939846,0.025991788,0.25557795,0.21173473,1.4208225,-0.18731596,0.21134277,0.1938973
astropy__astropy-13033,0.99982923,2.181417,0.16880085,0.54031926,1.0298665,2.2131026,0.2632669,0.57491195,0.60175735,1.248477,0.26419875,0.7041738
astropy__astropy-13236,1.0406772,2.1815288,0.1240609,0.34145248,0.56252867,1.0284094,0.19900107,0.46643928,0.23896281,0.51719147,0.2002271,0.67375165
astropy__astropy-13398,1.0542245,2.3495636,0.19075768,0.8808838,1.031217,2.1403594,0.3346628,0.9012749,1.1270453,2.1378517,0.27457508,0.81608516
astropy__astropy-13453,0.7860942,0.30630544,0.1794534,0.3319177,1.6723827,0.34164423,0.26359612,0.16536786,1.0102789,0.226643,0.19958338,0.25761685
astropy__astropy-13579,0.83271843,-0.051958147,0.19198802,0.3030091,1.0630716,-0.0071048355,0.23916486,0.26550087,1.6030427,-0.31496575,0.24727258,0.19166766
astropy__astropy-13977,1.0831879,2.3831694,0.19862634,0.9343237,1.020225,2.1461434,0.31991228,0.89712673,1.0606325,2.0662706,0.30140525,0.9345849
astropy__astropy-14096,1.0179365,-0.083661415,0.18313384,0.23178545,0.49172357,0.2066792,0.19215962,0.47584793,1.266811,-0.23878291,0.18730573,0.2048365
astropy__astropy-14182,1.0436125,1.6295435,0.16444859,0.41731924,1.0720849,1.6424145,0.24544342,0.3624623,0.9451985,1.3236182,0.24723543,0.43532425
astropy__astropy-14309,1.0546949,-1.4748559,0.16114044,0.43759272,0.84079313,-0.85749406,0.27842388,0.5103939,0.96791524,-1.1936655,0.24754795,0.4639809
astropy__astropy-14365,1.0069753,1.3214084,0.15959437,0.3508167,0.99157006,1.3199167,0.23236182,0.33142662,1.1932666,1.4223325,0.2351115,0.30073887
astropy__astropy-14369,0.75301987,0.79167527,0.18354991,0.36078677,1.2875633,1.3340275,0.22032402,0.24013035,1.2795147,1.2029682,0.24603684,0.23359624
astropy__astropy-14508,0.71525145,0.14321697,0.1985695,0.33054394,1.5507061,0.19327062,0.25730285,0.17186478,1.2082,0.087420635,0.21243396,0.23174496
astropy__astropy-14539,0.8275112,-0.115719564,0.18665048,0.31814224,1.1764854,-0.18853958,0.24810943,0.2684694,1.2160537,-0.41602275,0.20764159,0.21201956
astropy__astropy-14598,1.1216425,1.8036882,0.16225967,0.36648592,0.8816442,1.5841509,0.23532972,0.464629,0.6983393,1.1738267,0.250767,0.53041685
astropy__astropy-14995,0.9194266,-0.53978187,0.17040578,0.35077074,0.8574738,-0.29491493,0.26904336,0.3776102,1.4387922,-0.90762943,0.2260197,0.25757498
astropy__astropy-7166,1.0128074,-0.74732137,0.15673855,0.25544703,0.59016985,-0.10136365,0.22883078,0.38437197,0.8456477,-0.45209622,0.18061452,0.3065662
astropy__astropy-7336,1.109504,-1.4907228,0.14095615,0.31720257,0.54539955,-0.34711534,0.2280925,0.4713501,0.63798225,-0.6180401,0.1998716,0.48161826
astropy__astropy-7606,1.0307311,2.7235968,0.10921866,0.36095953,-0.1623262,0.4238239,0.20189992,0.77372426,0.094490886,0.26553535,0.25829116,0.754598
astropy__astropy-7671,0.9337856,-1.2698714,0.1396147,0.30554995,0.64531434,-0.28411376,0.21729842,0.4261186,0.46364874,-0.35226178,0.19436163,0.52982366
astropy__astropy-8707,1.1387469,1.932337,0.14516693,0.2757198,0.53540707,1.3480756,0.18171152,0.47193593,-0.082427256,0.19570021,0.26854357,0.68053997
astropy__astropy-8872,1.1669062,2.0963573,0.13571307,0.2810455,0.5820081,1.1611445,0.19865532,0.5412974,0.06169255,0.2619644,0.2353171,0.7458341
django__django-10097,0.6600808,0.742494,0.16532111,0.31895867,0.6366569,0.85666066,0.15566884,0.3111099,0.2304413,0.32952654,0.17269969,0.59455603
django__django-10554,1.056582,2.4001915,0.194754,0.85206336,0.98491305,2.1169517,0.31438035,0.9424001,1.0985847,2.2422488,0.28202498,0.8708887
