,theta1,theta1_std,theta2,theta2_std,theta3,theta3_std,theta_avg
20250928_trae_doubao_seed_code,0.89105356,0.19038877,2.067164,0.20118152,0.84944814,0.18834242,1.2692219
20251120_livesweagent_gemini-3-pro-preview,0.6282609,0.18045877,2.4032133,0.1901043,0.65579414,0.1853959,1.2290894
20250804_epam-ai-run-claude-4-sonnet,-0.036111165,0.19013909,2.1904082,0.19027694,1.4978108,0.21495436,1.2173693
20250902_atlassian-rovo-dev,0.294772,0.17911674,2.5823216,0.18977724,0.7519732,0.19187535,1.2096889
20250819_ACoder,0.7238448,0.18044195,1.1766349,0.16462187,1.5971563,0.2020814,1.1658787
20250915_JoyCode,-0.36927038,0.19094469,1.2866777,0.17804986,2.5370538,0.21840489,1.151487
20250901_warp,0.80868846,0.18450741,2.6475754,0.18324071,-0.082401305,0.18516022,1.1246208
20251103_sonar-foundation-agent_claude-sonnet-4-5,7.3210365e-05,0.18829471,2.5692785,0.2034591,0.77677566,0.18836874,1.1153758
20250612_trae,-0.0067957425,0.18071578,1.7962204,0.17468353,1.543757,0.19656509,1.1110605
20250720_Lingxi-v1.5_claude-4-sonnet-20250514,-0.13892756,0.1899277,1.7755332,0.18336019,1.6733931,0.19482766,1.1033329
20250731_harness_ai,-0.12956232,0.17677751,1.8680582,0.18364552,1.5702248,0.18511757,1.1029068
20251015_Prometheus_v1.2.1_gpt5,1.0916013,0.18868741,2.3055062,0.1833747,-0.16530053,0.1700788,1.077269
20250603_Refact_Agent_claude-4-sonnet,0.06766208,0.18213806,1.3786179,0.17007728,1.7446053,0.20510918,1.0636284
20250522_tools_claude-4-sonnet,-0.4978541,0.17933856,2.542988,0.16892108,0.97500616,0.17842004,1.0067134
20251103_SalesforceAIResearch_SAGE_OpenHands,0.7004242,0.17273429,1.9392407,0.17392856,0.36992556,0.16558602,1.0031968
20251021_SalesforceAIResearch_SAGE_bash_only,0.32777202,0.17211127,2.488145,0.1719615,0.19122349,0.16579758,1.0023801
20250522_tools_claude-4-opus,-0.031292655,0.16939804,2.4062307,0.18240273,0.62695426,0.16864997,1.0006307
