,theta1,theta1_std,theta2,theta2_std,theta_avg
20250928_trae_doubao_seed_code,0.9995164,0.14831722,2.0543115,0.16780107,1.526914
20251120_livesweagent_gemini-3-pro-preview,0.4873408,0.13056304,2.5381982,0.15982333,1.5127695
20250902_atlassian-rovo-dev,0.3983723,0.13200884,2.556298,0.15615976,1.4773352
20250804_epam-ai-run-claude-4-sonnet,0.6271869,0.13862349,2.2836363,0.16902062,1.4554117
20251103_sonar-foundation-agent_claude-sonnet-4-5,0.17120579,0.13996658,2.6313136,0.1733523,1.4012597
20250901_warp,0.138851,0.13842808,2.6242368,0.1599907,1.3815439
20250612_trae,0.76097596,0.14038637,1.9027098,0.15319046,1.3318429
20250731_harness_ai,0.614235,0.1340357,2.0144217,0.15849207,1.3143283
20251015_Prometheus_v1.2.1_gpt5,0.23501907,0.13359536,2.3895226,0.14561483,1.3122708
20250819_ACoder,1.258028,0.14539786,1.351294,0.16145048,1.304661
20250915_JoyCode,0.9619061,0.14441237,1.6126662,0.15899873,1.2872862
20250720_Lingxi-v1.5_claude-4-sonnet-20250514,0.69571507,0.13721898,1.8785017,0.15496403,1.2871084
20250522_tools_claude-4-sonnet,-0.03182929,0.13412614,2.56671,0.1589258,1.2674403
20250522_tools_claude-4-opus,0.0527275,0.13121337,2.4463139,0.16535267,1.2495207
20250603_Refact_Agent_claude-4-sonnet,0.94480604,0.14307459,1.5137682,0.1498774,1.2292871
20251103_SalesforceAIResearch_SAGE_OpenHands,0.41649196,0.13838808,2.0408294,0.15429375,1.2286607
20251021_SalesforceAIResearch_SAGE_bash_only,0.1299307,0.14171179,2.3269913,0.17163648,1.228461
20250807_openhands_gpt5,-0.022546863,0.1425146,2.4090185,0.15692367,1.1932359
20250929_Prometheus_v1.2_gpt5,-0.02055139,0.12598771,2.2904863,0.15171346,1.1349674
20250715_qodo_command,0.3160816,0.12853897,1.9386003,0.14257203,1.1273409
20250623_warp,0.3034428,0.13308474,1.9151107,0.14986241,1.1092768
20250610_augment_agent_v1,0.32455486,0.1329758,1.8548802,0.14332524,1.0897175
20251014_Lingxi_kimi_k2,0.318401,0.1330777,1.8585483,0.1520257,1.0884746
20250524_openhands_claude_4_sonnet,0.35355708,0.12812774,1.7771729,0.14524065,1.065365
20250710_bloop,0.7023829,0.12705986,1.4163753,0.13664646,1.0593791
20250519_trae,1.1296153,0.12938829,0.9570224,0.13590369,1.0433189
20250611_moatless_claude-4-sonnet-20250514,0.5846661,0.13124672,1.4743645,0.13209945,1.0295153
20250805_openhands-Qwen3-Coder-480B-A35B-Instruct,0.107359715,0.13122006,1.9328249,0.1437415,1.0200922
20250519_devlo,0.77313375,0.12909026,1.2518737,0.13765435,1.0125037
20250515_Refact_Agent,0.9613232,0.13543923,1.0321244,0.12674496,0.9967238
20250430_zencoder_ai,1.0549937,0.13379622,0.92119545,0.13262096,0.98809457
20250930_zai_glm4-6,0.32326278,0.11915873,1.5192299,0.12621307,0.92124635
20250516_cortexa_o3,0.44599786,0.12142239,1.3721733,0.13833477,0.9090856
