instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id,entry_point_clarity,change_blast_radius,fix_localization
django__django-11880,3,5,3,2,1,2,1,4,4,5,1,1,5,1,1,2,2,1,1,2,2026-03-07T23:26:51.761544,claude-opus-4-6,anthropic,django__django-11880,5,2,5
django__django-12039,3,5,3,2,2,2,1,5,5,5,1,1,5,1,2,4,3,3,2,3,2026-03-07T23:26:51.598364,claude-opus-4-6,anthropic,django__django-12039,5,2,5
django__django-12193,3,5,3,2,2,2,1,5,4,5,1,1,5,1,1,4,2,3,1,2,2026-03-07T23:26:53.851248,claude-opus-4-6,anthropic,django__django-12193,5,2,5
astropy__astropy-14598,1,5,4,4,4,3,0,5,5,4,4,1,5,1,3,3,2,3,3,4,2026-03-07T23:26:34.294288,claude-opus-4-6,anthropic,astropy__astropy-14598,4,2,4
django__django-13297,2,4,4,3,3,3,0,4,5,4,2,1,5,1,3,2,3,1,2,3,2026-03-07T23:27:04.883220,claude-opus-4-6,anthropic,django__django-13297,5,2,4
sympy__sympy-21847,3,5,2,2,1,2,1,5,5,5,1,1,5,1,2,4,3,3,1,1,2026-03-07T23:29:13.713129,claude-opus-4-6,anthropic,sympy__sympy-21847,5,2,5
matplotlib__matplotlib-20676,1,4,4,3,3,2,0,4,5,5,3,1,5,1,2,4,3,3,2,3,2026-03-07T23:27:57.174172,claude-opus-4-6,anthropic,matplotlib__matplotlib-20676,4,2,4
django__django-14155,3,5,3,2,2,2,1,4,3,4,1,1,4,1,2,4,3,3,2,2,2026-03-07T23:27:18.862765,claude-opus-4-6,anthropic,django__django-14155,5,2,5
sphinx-doc__sphinx-9591,1,4,4,3,3,3,0,4,5,4,3,1,5,1,2,3,4,2,2,3,2026-03-07T23:28:51.991733,claude-opus-4-6,anthropic,sphinx-doc__sphinx-9591,4,2,4
django__django-11087,3,4,4,4,3,3,0,5,4,4,3,2,5,1,3,3,4,3,3,4,2026-03-07T23:26:37.729984,claude-opus-4-6,anthropic,django__django-11087,4,2,4
django__django-16938,3,5,4,3,3,2,1,5,5,4,2,2,5,1,2,3,3,2,1,2,2026-03-07T23:27:55.141718,claude-opus-4-6,anthropic,django__django-16938,4,2,4
django__django-15569,3,5,3,1,1,2,1,4,4,5,1,1,5,1,2,3,2,2,1,2,2026-03-07T23:27:39.681285,claude-opus-4-6,anthropic,django__django-15569,5,2,5
django__django-13794,1,4,4,3,2,2,1,4,3,4,2,1,3,1,3,3,2,2,2,3,2026-03-07T23:27:12.977199,claude-opus-4-6,anthropic,django__django-13794,5,2,5
django__django-11603,3,5,3,1,1,2,1,4,4,5,1,1,5,1,2,3,3,2,1,2,2026-03-07T23:26:45.831168,claude-opus-4-6,anthropic,django__django-11603,5,2,5
django__django-11551,3,5,4,4,3,3,0,5,5,5,2,1,5,1,3,2,3,2,3,3,2026-03-07T23:26:47.579190,claude-opus-4-6,anthropic,django__django-11551,5,2,5
django__django-16502,1,5,5,4,4,3,0,5,5,5,3,1,5,1,3,3,4,2,4,4,2026-03-07T23:27:49.095638,claude-opus-4-6,anthropic,django__django-16502,4,2,5
sympy__sympy-21596,1,4,5,4,4,3,0,5,5,5,3,1,5,1,3,4,3,4,4,4,2026-03-07T23:29:12.115457,claude-opus-4-6,anthropic,sympy__sympy-21596,4,2,5
sphinx-doc__sphinx-10449,0,5,4,3,3,3,0,4,5,4,3,1,5,1,3,2,3,2,3,3,2026-03-07T23:28:40.400783,claude-opus-4-6,anthropic,sphinx-doc__sphinx-10449,4,2,4
django__django-15103,3,5,3,2,1,1,1,4,4,5,1,2,4,1,2,3,2,2,2,2,2026-03-07T23:27:28.696869,claude-opus-4-6,anthropic,django__django-15103,5,2,4
sympy__sympy-11618,2,5,3,3,2,2,1,5,5,5,2,1,5,1,3,1,1,1,3,3,2026-03-07T23:28:56.735359,claude-opus-4-6,anthropic,sympy__sympy-11618,5,2,4
django__django-15695,2,5,4,3,3,3,0,5,5,4,2,1,5,1,2,2,3,2,1,3,2026-03-07T23:27:39.833475,claude-opus-4-6,anthropic,django__django-15695,5,2,5
django__django-13741,3,5,3,2,1,2,1,3,3,5,1,1,5,1,3,2,1,1,2,3,2026-03-07T23:27:12.109359,claude-opus-4-6,anthropic,django__django-13741,5,2,5
django__django-15380,2,5,4,3,2,2,0,5,4,4,2,1,5,1,1,3,3,2,1,3,2026-03-07T23:27:37.808550,claude-opus-4-6,anthropic,django__django-15380,5,2,5
django__django-14315,3,5,3,2,1,2,1,4,3,4,1,2,5,1,2,4,4,3,2,3,2026-03-07T23:27:19.971191,claude-opus-4-6,anthropic,django__django-14315,5,2,5
django__django-11951,3,5,3,2,1,2,1,4,3,5,1,1,5,1,2,2,3,2,1,2,2026-03-07T23:26:52.167728,claude-opus-4-6,anthropic,django__django-11951,5,2,5
django__django-13346,1,4,5,4,4,4,0,4,4,5,4,1,4,1,2,4,3,4,4,4,2026-03-07T23:27:06.039625,claude-opus-4-6,anthropic,django__django-13346,4,2,5
scikit-learn__scikit-learn-14894,2,5,3,2,1,2,1,5,5,4,1,1,5,1,1,2,2,2,2,2,2026-03-07T23:28:36.103242,claude-opus-4-6,anthropic,scikit-learn__scikit-learn-14894,5,2,5
django__django-13809,2,5,3,1,1,2,1,3,3,5,1,1,4,1,1,3,4,3,1,2,2026-03-07T23:27:12.927281,claude-opus-4-6,anthropic,django__django-13809,5,2,5
