item_ix,item_id,diff
0,astropy__astropy-12907,-0.643366813659668
1,astropy__astropy-13033,5.434284687042236
2,astropy__astropy-13236,3.560213088989258
3,astropy__astropy-13398,9.652111053466797
4,astropy__astropy-13453,0.1778438687324524
5,astropy__astropy-13579,-1.3429051637649536
6,astropy__astropy-13977,9.063502311706545
7,astropy__astropy-14096,-1.0056509971618652
8,astropy__astropy-14182,4.338385581970215
9,astropy__astropy-14309,-4.48829460144043
10,astropy__astropy-14365,3.5559113025665283
11,astropy__astropy-14369,2.563674211502075
12,astropy__astropy-14508,-0.1426689773797989
13,astropy__astropy-14539,-1.2358566522598269
14,astropy__astropy-14598,3.950819253921509
15,astropy__astropy-14995,-2.663785457611084
16,astropy__astropy-7166,-2.1199891567230225
17,astropy__astropy-7336,-3.5014350414276123
18,astropy__astropy-7606,4.125051975250244
19,astropy__astropy-7671,-2.472275733947754
20,astropy__astropy-8707,3.685620069503784
21,astropy__astropy-8872,3.516148567199707
22,django__django-10097,1.1914538145065308
23,django__django-10554,9.36959171295166
24,django__django-10880,-1.4892358779907229
25,django__django-10914,-2.6662938594818115
26,django__django-10973,-1.9505815505981443
27,django__django-10999,10.016267776489258
28,django__django-11066,-4.735193729400635
29,django__django-11087,9.34120273590088
30,django__django-11095,-3.377786636352539
31,django__django-11099,-4.587777137756348
32,django__django-11119,-4.652073383331299
33,django__django-11133,-3.9861018657684326
34,django__django-11138,3.571471929550171
35,django__django-11141,2.5745046138763428
36,django__django-11149,1.6822893619537354
37,django__django-11163,-4.029712677001953
38,django__django-11179,-2.8002493381500244
39,django__django-11206,1.5056896209716797
40,django__django-11211,-0.994762122631073
41,django__django-11239,1.2806977033615112
42,django__django-11265,1.568993330001831
43,django__django-11276,-1.50675630569458
44,django__django-11292,-1.9852806329727173
45,django__django-11299,0.5354439616203308
46,django__django-11333,0.5623476505279541
47,django__django-11400,8.991762161254883
48,django__django-11433,3.0401155948638916
49,django__django-11451,-2.064274311065674
50,django__django-11477,5.561357498168945
51,django__django-11490,1.069604516029358
52,django__django-11532,0.9340296387672424
53,django__django-11551,-3.2677998542785645
54,django__django-11555,0.994981586933136
55,django__django-11603,-4.093583106994629
56,django__django-11728,3.608124494552612
57,django__django-11734,5.357105255126953
58,django__django-11740,-0.0305708553642034
59,django__django-11749,-1.0380407571792605
60,django__django-11790,2.07521390914917
61,django__django-11815,-0.6963411569595337
62,django__django-11820,6.0821852684021
63,django__django-11848,1.6304540634155271
64,django__django-11880,-4.1091766357421875
65,django__django-11885,3.9970200061798096
66,django__django-11951,-1.839260458946228
67,django__django-11964,1.7857009172439575
68,django__django-11999,-2.1827895641326904
69,django__django-12039,-0.0520175471901893
70,django__django-12050,-2.758667230606079
71,django__django-12125,0.7127078175544739
72,django__django-12143,-4.471115589141846
73,django__django-12155,-5.180624961853027
74,django__django-12193,-0.1453904509544372
75,django__django-12209,-2.338068962097168
76,django__django-12262,-0.5367643237113953
77,django__django-12273,3.2305352687835693
78,django__django-12276,-2.5457046031951904
79,django__django-12304,-0.6629628539085388
80,django__django-12308,2.6019301414489746
81,django__django-12325,2.894822120666504
82,django__django-12406,9.233465194702148
83,django__django-12419,-3.393096685409546
84,django__django-12663,0.7652949690818787
85,django__django-12708,-0.6696587204933167
86,django__django-12713,-2.3769590854644775
87,django__django-12741,-1.0094527006149292
88,django__django-12754,0.7069054245948792
89,django__django-12774,0.4757516384124756
90,django__django-12858,-0.9356687068939208
91,django__django-12965,1.2069076299667358
92,django__django-13012,-0.8057656288146973
93,django__django-13023,0.5513637065887451
94,django__django-13028,-1.5874953269958496
95,django__django-13033,-0.1010168269276619
96,django__django-13089,-4.1249189376831055
97,django__django-13109,-4.256730556488037
98,django__django-13112,1.0694236755371094
99,django__django-13121,0.5524898767471313
100,django__django-13128,0.9676441550254822
101,django__django-13158,0.0096450019627809
102,django__django-13195,6.331579208374023
103,django__django-13212,9.183999061584473
104,django__django-13279,-0.6021367907524109
105,django__django-13297,0.6776823997497559
106,django__django-13315,-0.575042724609375
107,django__django-13343,-0.9488518834114076
108,django__django-13344,5.4880218505859375
109,django__django-13346,0.903417706489563
110,django__django-13363,-3.568311929702759
111,django__django-13401,-0.6328358054161072
112,django__django-13406,0.5118771195411682
113,django__django-13410,-3.749176502227783
114,django__django-13417,-2.0337917804718018
115,django__django-13449,-0.0315206125378608
116,django__django-13512,1.4729167222976685
117,django__django-13513,8.864641189575195
118,django__django-13516,-2.5002152919769287
119,django__django-13551,0.6971355676651001
