subject_id,theta
Claude 4 Sonnet - 10132025,-1.7567614316940308
Claude 4.5 Haiku -- 10222025,-1.207040548324585
Claude 4.5 Sonnet - 10132025,-0.89019775390625
Claude Opus 4.1 - paper,-2.7560501098632812
Claude Sonnet 4 - paper,-3.4055986404418945
GLM-4.5 -- 10222025,-1.5893032550811768
GPT OSS - paper,-3.3654205799102783
GPT-4o - paper,-5.293882369995117
GPT-5 - 10132025,-1.528006911277771
GPT-5 Codex -- debug-oct22,-2.368288040161133
GPT-5 High - paper,-2.3966832160949707
Gemini 2.5 Pro Preview - paper,-3.756615400314331
Gemini 2.5 Pro Preview -- debug-oct22,-3.0116710662841797
Kimi - paper,-2.383028030395508
