task_i,task_j,delta_pre,delta_all,change,abs_change,sign_preserved
astropy__astropy-12907,astropy__astropy-13453,-1.1060059294104576,-1.148317813873291,-0.042311884462833405,0.042311884462833405,True
astropy__astropy-12907,astropy__astropy-13579,0.6244336739182472,0.3089134693145752,-0.315520204603672,0.315520204603672,True
astropy__astropy-12907,astropy__astropy-14096,0.5220018997788429,0.22814220190048218,-0.29385969787836075,0.29385969787836075,True
astropy__astropy-12907,astropy__astropy-14369,-3.4639619812369347,-3.42750084400177,0.03646113723516464,0.03646113723516464,True
astropy__astropy-12907,astropy__astropy-14539,0.6307961121201515,0.4054567813873291,-0.22533933073282242,0.22533933073282242,True
astropy__astropy-12907,django__django-10097,-1.790719173848629,-2.221316337585449,-0.4305971637368202,0.4305971637368202,True
astropy__astropy-12907,django__django-10880,0.8718912973999977,0.7377133369445801,-0.13417796045541763,0.13417796045541763,True
astropy__astropy-12907,django__django-11141,-3.5493680462241173,-3.6230865716934204,-0.07371852546930313,0.07371852546930313,True
astropy__astropy-12907,django__django-11149,-2.252407930791378,-2.718026280403137,-0.4656183496117592,0.4656183496117592,True
astropy__astropy-12907,django__django-11206,-2.0826130136847496,-2.2986130714416504,-0.2160000577569008,0.2160000577569008,True
astropy__astropy-12907,django__django-11211,0.160053052008152,0.16585832834243774,0.005805276334285736,0.005805276334285736,True
astropy__astropy-12907,django__django-11239,-2.424832008779049,-2.1952970027923584,0.22953500598669052,0.22953500598669052,True
astropy__astropy-12907,django__django-11265,-1.9744709953665733,-2.2695473432540894,-0.295076347887516,0.295076347887516,True
astropy__astropy-12907,django__django-11276,0.8218545690178871,0.7632554769515991,-0.058599092066287994,0.058599092066287994,True
astropy__astropy-12907,django__django-11292,1.3259578719735146,1.0868549346923828,-0.23910293728113174,0.23910293728113174,True
astropy__astropy-12907,django__django-11333,-1.3201838955283165,-1.184766173362732,0.13541772216558456,0.13541772216558456,True
astropy__astropy-12907,django__django-11451,1.3983442559838295,1.1181930303573608,-0.28015122562646866,0.28015122562646866,True
astropy__astropy-12907,django__django-11490,-1.7495322450995445,-2.009964108467102,-0.2604318633675575,0.2604318633675575,True
astropy__astropy-12907,django__django-11532,-1.3191077932715416,-1.565333366394043,-0.24622557312250137,0.24622557312250137,True
astropy__astropy-12907,django__django-11555,-1.8030721172690392,-1.8745332956314087,-0.07146117836236954,0.07146117836236954,True
astropy__astropy-12907,django__django-11749,0.4820881858468056,0.30856674909591675,-0.17352143675088882,0.17352143675088882,True
astropy__astropy-12907,django__django-11815,0.16921237856149673,-0.23153376579284668,-0.4007461443543434,0.4007461443543434,False
astropy__astropy-12907,django__django-11848,-2.306309126317501,-2.478379249572754,-0.17207012325525284,0.17207012325525284,True
astropy__astropy-12907,django__django-11964,-2.0279035791754723,-2.6177321672439575,-0.5898285880684853,0.5898285880684853,True
astropy__astropy-12907,django__django-11999,1.460182286798954,1.4398738145828247,-0.020308472216129303,0.020308472216129303,True
