instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id,fix_localization,entry_point_clarity,change_blast_radius,environment_setup_complexity,implementation_language_complexity,testing_infrastructure_quality,dependency_complexity,codebase_scale
numpy__numpy-7853cbc,0,2,4,4,4,3,0,3,3,2,4,3,3,1,3,4,3,3,4,4,2026-03-07T02:49:21.370568,claude-sonnet-4-6,anthropic,numpy__numpy-7853cbc,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
huggingface__tokenizers-076319d,0,2,4,4,4,3,0,3,3,3,4,3,2,1,3,3,3,2,4,4,2026-03-07T02:49:50.175676,claude-sonnet-4-6,anthropic,huggingface__tokenizers-076319d,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0
huggingface__datasets-ef3b5dd,1,3,4,3,3,3,0,3,3,3,3,3,3,1,3,3,2,2,5,5,2026-03-07T02:49:25.902910,claude-sonnet-4-6,anthropic,huggingface__datasets-ef3b5dd,4.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0
numpy__numpy-8dd6761,0,2,5,4,4,4,0,3,2,2,4,3,2,1,2,3,3,3,5,5,2026-03-07T02:49:27.827835,claude-sonnet-4-6,anthropic,numpy__numpy-8dd6761,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
numpy__numpy-ac5c664,0,2,4,4,4,3,0,3,3,3,4,3,3,1,3,4,3,3,5,5,2026-03-07T02:49:19.866379,claude-sonnet-4-6,anthropic,numpy__numpy-ac5c664,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0
huggingface__tokenizers-c893204,0,2,4,4,4,4,0,3,2,2,3,2,2,1,3,3,1,2,4,4,2026-03-07T02:49:48.982406,claude-sonnet-4-6,anthropic,huggingface__tokenizers-c893204,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0
huggingface__datasets-5994036,1,3,4,3,3,3,0,3,3,3,2,1,3,1,2,2,3,1,4,4,2026-03-07T02:49:21.133321,claude-sonnet-4-6,anthropic,huggingface__datasets-5994036,4.0,5.0,3.0,2.0,2.0,4.0,4.0,4.0
pandas-dev__pandas-f298507,0,2,4,3,3,3,0,3,3,3,2,2,3,1,2,3,3,2,4,4,2026-03-07T02:49:32.997636,claude-sonnet-4-6,anthropic,pandas-dev__pandas-f298507,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
pandas-dev__pandas-45f0705,1,2,4,3,2,3,0,3,2,3,2,2,2,1,3,3,3,2,2,3,2026-03-07T02:49:42.707650,claude-sonnet-4-6,anthropic,pandas-dev__pandas-45f0705,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0
numpy__numpy-09db9c7,0,2,4,3,3,3,0,3,2,2,2,2,2,1,2,3,2,3,5,5,2026-03-07T02:49:26.328777,claude-sonnet-4-6,anthropic,numpy__numpy-09db9c7,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
python-pillow__Pillow-f854676,1,2,4,3,3,3,0,3,3,3,2,2,3,1,3,2,2,1,3,4,2026-03-07T02:49:42.893629,claude-sonnet-4-6,anthropic,python-pillow__Pillow-f854676,4.0,5.0,2.0,3.0,4.0,4.0,4.0,4.0
uploadcare__pillow-simd-d970a39,0,2,5,4,5,4,0,3,2,3,3,2,2,1,3,3,2,2,3,3,2026-03-07T02:49:47.725956,claude-sonnet-4-6,anthropic,uploadcare__pillow-simd-d970a39,4.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0
pandas-dev__pandas-2278923,1,3,4,4,3,3,0,3,3,3,3,2,3,1,3,2,1,1,4,4,2026-03-07T02:49:40.371615,claude-sonnet-4-6,anthropic,pandas-dev__pandas-2278923,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
numpy__numpy-330057f,0,2,5,4,4,4,0,3,2,2,4,3,2,1,2,4,3,4,3,4,2026-03-07T02:49:28.725923,claude-sonnet-4-6,anthropic,numpy__numpy-330057f,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0
numpy__numpy-b862e4f,0,2,5,4,4,4,0,3,2,2,4,3,2,1,2,2,2,1,4,4,2026-03-07T02:49:20.913531,claude-sonnet-4-6,anthropic,numpy__numpy-b862e4f,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
numpy__numpy-893db31,0,2,4,3,3,3,0,3,2,2,3,2,2,1,2,3,2,2,4,5,2026-03-07T02:49:25.688221,claude-sonnet-4-6,anthropic,numpy__numpy-893db31,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
