feature,overall_mean,overall_std,within_agent_var,between_agent_var,discrimination_ratio
verification_approach,1.393939393939394,0.9014521370949753,0.32333333333333336,0.6157361495844875,1.9043386069623325
test_creation,0.7171717171717171,0.49570407647790954,0.11263157894736842,0.16825,1.4938084112149534
edit_precision,2.9797979797979797,1.3922511354197236,0.9751461988304093,1.2367257617728533,1.2682465083247851
hypothesis_testing,0.8686868686868687,0.6491197280597943,0.2363157894736842,0.2388608033240997,1.0107695463603328
context_gathering,2.111111111111111,0.9022521581664961,0.4697076023391812,0.4429224376731302,0.9429748112811913
iteration_count,2.5353535353535355,1.3873564004611934,1.282514619883041,0.8617783933518004,0.6719443037853169
incremental_vs_big_bang,2.3737373737373737,1.2171047829881474,1.017485380116959,0.6289072022160664,0.6180994975512809
error_recovery,1.3737373737373737,1.2337586389984216,1.0736257309941521,0.6039072022160665,0.5624932271852898
localization_strategy,1.898989898989899,0.8977858193622512,0.5952631578947368,0.28645983379501394,0.4812322583647449
exploration_depth,1.4444444444444444,0.5928523618089873,0.29578947368421055,0.08391759002770084,0.283707154897921
