subject_id,theta
Claude 4 Sonnet - 10132025,-2.15765380859375
Claude 4.5 Haiku -- 10222025,-1.7008006572723389
Claude 4.5 Sonnet - 10132025,-1.4696599245071411
Claude Opus 4.1 - paper,-2.8798763751983643
Claude Sonnet 4 - paper,-3.5489704608917236
GLM-4.5 -- 10222025,-2.0899899005889893
GPT OSS - paper,-3.601311206817627
GPT-4o - paper,-5.597573280334473
GPT-5 - 10132025,-1.9779608249664307
GPT-5 Codex -- debug-oct22,-2.677870035171509
GPT-5 High - paper,-2.7911341190338135
Gemini 2.5 Pro Preview - paper,-4.004544258117676
Gemini 2.5 Pro Preview -- debug-oct22,-3.374582529067993
Kimi - paper,-2.566365957260132
